pthresh	NA	gap_gm_R2	gap_gm_estimate	gap_gm_statistic	gap_gm_df	gap_gm_p.value	NA.1	gap_wm_R2	gap_wm_estimate	gap_wm_statistic	gap_wm_df	gap_wm_p.value	NA.2	gap_gwm_R2	gap_gwm_estimate	gap_gwm_statistic	gap_gwm_df	gap_gwm_p.value
1		0.0107750410313858	0.103802895101176	14.9039880342997	20393	5.69096644886143e-50		0.0217763375102318	0.147568077544677	21.3065874640199	20393	1.20223197650911e-99		0.0170020507656817	0.130391912194284	18.7808354682431	20393	4.93659064449541e-78
0.5		0.0107730751779135	0.103793425504285	14.9026135847409	20393	5.80798470407264e-50		0.0217775291140595	0.147572114960989	21.3071833830356	20393	1.18735945894794e-99		0.0170610593702427	0.130617990224328	18.8139630359172	20393	2.67205030692986e-78
0.2		0.011171938490424	0.10569739112402	15.1790445741164	20393	9.33952192672821e-52		0.0223978131602221	0.149658989573704	21.615350699847	20393	1.8183441111668e-102		0.0176741211826108	0.132944052829041	19.1549790400977	20393	4.533426933426e-81
0.1		0.0126847512640078	0.112626601049698	16.1865247290786	20393	1.45522674151856e-58		0.0226792895579228	0.150596446033506	21.7538801521301	20393	9.58908927137844e-104		0.0185785054621429	0.136302991391029	19.6479916161384	20393	3.68845015146759e-85
0.05		0.0128690965946181	0.113442040684299	16.3052407571906	20393	2.15239797531252e-59		0.021995624454668	0.148309219048136	21.4159975629869	20393	1.21626760039268e-100		0.0190108696813833	0.137879910361819	19.8796829763354	20393	4.07913825008856e-87
0.01		0.0107432807242304	0.103649798476554	14.8817675706256	20393	7.90668851731506e-50		0.0252197713311652	0.158807340293719	22.9698297323524	20393	2.70889379269094e-115		0.0199133972030035	0.141114836934333	20.355464234839	20393	3.34635130043986e-91
0.001		0.0112795320280423	0.106205141250517	15.2527916561056	20393	3.06476506698633e-52		0.0241512812773715	0.155406825066892	22.4656712553836	20393	1.96558022966558e-110		0.0207132400132193	0.143920950570858	20.7687154892264	20393	7.95590798607586e-95
1e-04		0.0124037975689208	0.111372337539089	16.0039869629166	20393	2.67734786721443e-57		0.0226959588299959	0.150651780042573	21.7620588205007	20393	8.05542838628557e-104		0.0201323258972893	0.141888427636962	20.4693390858581	20393	3.41131642146875e-92
1e-06		0.00782965055012739	0.0884853126237761	12.6858224028534	20393	9.75673068318122e-37		0.0146856644326264	0.121184423226033	17.4341171145197	20393	1.40537945592105e-67		0.0142301415644655	0.119290157030937	17.1576341240514	20393	1.58988880211843e-65
5e-08		0.00792127240825357	0.0890015303702895	12.7604198859473	20393	3.7832089158493e-37		0.0119605539597025	0.109364317579833	15.711912983461	20393	2.64581050467627e-55		0.0109907425698634	0.10483674246114	15.0540688903002	20393	6.09849590890169e-51
